architecture,model,dataset,chunk_size_kb,burst_length_s,result_ms,chunk_size_tokens,burst_enabled,burst_interval_s,chunks_produced,chunks_processed,chunks_persisted,total_duration_ms,throughput_chunks_per_s,throughput_tokens_per_s,success_rate,status,error_message
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,0.5,,569.056134223938,128,False,,100,100,100,56905.6134223938,1.7572958797180362,277.6527489954497,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,0.5,1,637.5851775660659,128,True,2,33,33,33,21040.310859680176,1.5684178917355416,218.86558761945966,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,0.5,5,558.1628036499023,128,True,2,100,100,100,55816.280364990234,1.791591975425206,283.0715321171826,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,0.5,10,538.3484649658203,128,True,2,100,100,100,53834.84649658203,1.857532927234203,293.49020250300407,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,0.5,15,533.146641254425,128,True,2,100,100,100,53314.664125442505,1.8756565691704057,296.3537379289241,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,0.5,30,537.9915070533752,128,True,2,100,100,100,53799.150705337524,1.8587654022218383,293.68493355105045,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,0.5,45,535.3799533843994,128,True,2,100,100,100,53537.99533843994,1.8678323565880814,295.1175123409169,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,0.5,60,538.196439743042,128,True,2,100,100,100,53819.6439743042,1.8580576275782181,293.57310515735844,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,1.0,,536.225790977478,256,False,,100,100,100,53622.5790977478,1.8648860551394122,538.6723370270192,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,1.0,1,637.681989958792,256,True,2,33,33,33,21043.505668640137,1.5681797757289986,421.4601948769845,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,1.0,5,558.6768007278442,256,True,2,100,100,100,55867.680072784424,1.7899436645609765,517.0252275084381,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,1.0,10,538.3480548858643,256,True,2,100,100,100,53834.805488586426,1.8575343421868795,536.5487947406801,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,1.0,15,535.4921340942383,256,True,2,100,100,100,53549.21340942383,1.8674410627738849,539.4103509822367,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,1.0,30,535.5085158348083,256,True,2,100,100,100,53550.851583480835,1.8673839358858604,539.3938498806308,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,1.0,45,538.3759093284607,256,True,2,100,100,100,53837.59093284607,1.8574382372482876,536.5210348291679,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,1.0,60,533.2508325576782,256,True,2,100,100,100,53325.08325576782,1.875290086662615,541.6775415324963,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,2.0,,536.204092502594,512,False,,100,100,100,53620.4092502594,1.8649615211490806,872.0746569045216,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,2.0,1,662.9053284140194,512,True,2,34,34,34,22538.78116607666,1.508511030364576,821.4729919764742,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,2.0,5,545.6487035751343,512,True,2,100,100,100,54564.87035751343,1.832680978526879,856.9799523689538,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,2.0,10,535.6704664230347,512,True,2,100,100,100,53567.04664230347,1.8668193650427438,872.9434032876375,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,2.0,15,535.6219506263733,512,True,2,100,100,100,53562.19506263733,1.8669884586144543,873.0224731327049,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,2.0,30,540.6561708450317,512,True,2,100,100,100,54065.617084503174,1.8496043399209254,864.893485390424,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,2.0,45,535.6191921234131,512,True,2,100,100,100,53561.91921234131,1.8669980738285197,873.0269693029541,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,2.0,60,535.6646347045898,512,True,2,100,100,100,53566.463470458984,1.866839688887588,872.952906920725,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,5.0,,536.2267088890076,1280,False,,100,100,100,53622.67088890076,1.8648828628321605,1155.966291355143,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,5.0,1,571.2258148193359,1280,True,2,50,50,50,28561.290740966797,1.7506211625191945,1239.7899072960936,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,5.0,5,535.7694602012634,1280,True,2,100,100,100,53576.94602012634,1.866474434030538,1156.9528426781692,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,5.0,10,535.7449793815613,1280,True,2,100,100,100,53574.49793815613,1.866559722415603,1157.0057095365357,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,5.0,15,535.7408618927002,1280,True,2,100,100,100,53574.08618927002,1.8665740680431484,1157.014601817226,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,5.0,30,535.7123303413391,1280,True,2,100,100,100,53571.23303413391,1.8666734800799365,1157.0762233623493,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,5.0,45,540.6257152557373,1280,True,2,100,100,100,54062.57152557373,1.8497085354642453,1146.5603327928673,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,5.0,60,535.8396482467651,1280,True,2,100,100,100,53583.964824676514,1.8662299500829016,1156.8012968583873,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,10.0,,534.1809487342834,2560,False,,100,100,100,53418.094873428345,1.8720248304801075,1270.0190854943146,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,10.0,1,588.8417478193317,2560,True,2,57,57,57,33563.979625701904,1.6982491538742255,1266.8640749453673,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,10.0,5,535.8525109291077,2560,True,2,100,100,100,53585.25109291077,1.8661851528251927,1266.0573313796672,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,10.0,10,535.7111716270447,2560,True,2,100,100,100,53571.11716270447,1.8666775175937294,1266.3913614859378,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,10.0,15,535.7717204093933,2560,True,2,100,100,100,53577.17204093933,1.8664665601160904,1266.248243713958,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,10.0,30,538.687629699707,2560,True,2,100,100,100,53868.7629699707,1.8563634003577414,1259.394058070699,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,10.0,45,535.745062828064,2560,True,2,100,100,100,53574.5062828064,1.8665594316842613,1266.3112496432366,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,10.0,60,535.7446670532227,2560,True,2,100,100,100,53574.466705322266,1.8665608105822855,1266.3121851152341,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,20.0,,536.4439105987549,5120,False,,100,100,100,53644.39105987549,1.8641277871601607,1280.5253008339291,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,20.0,1,652.98546444286,5120,True,2,33,33,33,21548.52032661438,1.5314276572040078,1385.013891795564,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,20.0,5,555.7930588722229,5120,True,2,100,100,100,55579.30588722229,1.799230818083859,1235.9456258663452,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,20.0,10,535.8243584632874,5120,True,2,100,100,100,53582.435846328735,1.8662832030778538,1282.0059206902702,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,20.0,15,535.6471061706543,5120,True,2,100,100,100,53564.71061706543,1.8669007794124166,1282.4301524017715,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,20.0,30,540.7146859169006,5120,True,2,100,100,100,54071.46859169006,1.849404179404301,1270.4112129581965,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,20.0,45,536.3799405097961,5120,True,2,100,100,100,53637.994050979614,1.8643501079655618,1280.6780196647833,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,20.0,60,535.7624530792236,5120,True,2,100,100,100,53576.24530792236,1.866498845248734,1282.1540517667129,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,40.0,,536.3710451126099,10240,False,,100,100,100,53637.104511260986,1.864381027111656,1283.3280362020373,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,40.0,1,599.3880374091012,10240,True,2,56,56,56,33565.73009490967,1.6683682983106793,1344.5856792742425,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,40.0,5,535.6750917434692,10240,True,2,100,100,100,53567.509174346924,1.8668032458729524,1284.9953462641881,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,40.0,10,535.7851123809814,10240,True,2,100,100,100,53578.511238098145,1.8664199077053276,1284.7314792698853,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,40.0,15,535.8211064338684,10240,True,2,100,100,100,53582.11064338684,1.8662945300073226,1284.6451767852404,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,40.0,30,535.8211207389832,10240,True,2,100,100,100,53582.112073898315,1.8662944801818186,1284.645142488353,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,40.0,45,535.7437872886658,10240,True,2,100,100,100,53574.37872886658,1.866563875730372,1284.8305782202442,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,40.0,60,540.8045530319214,10240,True,2,100,100,100,54080.45530319214,1.849096858363495,1272.8073314859282,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,80.0,,536.4808654785156,20480,False,,100,100,100,53648.08654785156,1.8639993788185665,1283.065332415972,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,80.0,1,580.1294310051098,20480,True,2,57,57,57,33067.37756729126,1.7237532635905726,1378.7304393045229,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,80.0,5,536.166353225708,20480,True,2,100,100,100,53616.6353225708,1.865092790667962,1283.817971528385,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,80.0,10,540.8722710609436,20480,True,2,100,100,100,54087.22710609436,1.8488653486311253,1272.6479740767488,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,80.0,15,535.7916569709778,20480,True,2,100,100,100,53579.16569709778,1.8663971097522465,1284.7157865268614,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,80.0,30,535.9101581573486,20480,True,2,100,100,100,53591.01581573486,1.8659844094733318,1284.431708416873,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,80.0,45,535.7982349395752,20480,True,2,100,100,100,53579.82349395752,1.866374196086658,1284.7000141342903,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,cc_news,80.0,60,535.791540145874,20480,True,2,100,100,100,53579.1540145874,1.866397516705361,1284.716066648968,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,0.5,,538.382318019867,128,False,,100,100,100,53838.231801986694,1.8574161270339098,220.92107414941324,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,0.5,1,561.239630342966,128,True,2,83,83,83,46582.88931846619,1.7817701137549984,210.93582093682667,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,0.5,5,557.8513646125793,128,True,2,100,100,100,55785.136461257935,1.792592191101813,213.21091520964964,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,0.5,10,532.7600574493408,128,True,2,100,100,100,53276.00574493408,1.877017591723434,223.25247235958523,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,0.5,15,537.9267978668213,128,True,2,100,100,100,53792.67978668213,1.8589889999263018,221.10815165123432,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,0.5,30,537.8646087646484,128,True,2,100,100,100,53786.460876464844,1.8592039403685074,221.13371666743026,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,0.5,45,537.8922462463379,128,True,2,100,100,100,53789.22462463379,1.8591084124719492,221.12235457941364,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,0.5,60,537.8552150726318,128,True,2,100,100,100,53785.52150726318,1.85923641154053,221.13757878863063,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,1.0,,533.3686518669128,256,False,,100,100,100,53336.865186691284,1.8748758415024396,356.2264098854635,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,1.0,1,555.8972823910597,256,True,2,82,82,82,45583.577156066895,1.7988934856791137,341.7239491027263,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,1.0,5,517.9303240776062,256,True,2,100,100,100,51793.03240776062,1.9307616362894422,366.844710894994,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,1.0,10,537.8591704368591,256,True,2,100,100,100,53785.91704368591,1.8592227388960971,353.2523203902585,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,1.0,15,537.8711986541748,256,True,2,100,100,100,53787.11986541748,1.8591811617765235,353.2444207375395,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,1.0,30,532.9285955429077,256,True,2,100,100,100,53292.85955429077,1.8764239869344503,356.52055751754557,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,1.0,45,537.9383945465088,256,True,2,100,100,100,53793.83945465088,1.858948924519539,353.20029565871243,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,1.0,60,538.0176544189453,256,True,2,100,100,100,53801.76544189453,1.8586750672336056,353.1482627743851,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,2.0,,533.3254218101501,512,False,,100,100,100,53332.542181015015,1.8750278143612922,407.7810490672938,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,2.0,1,555.9889688724425,512,True,2,82,82,82,45591.09544754028,1.7985968355235922,386.6544514220717,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,2.0,5,517.9525065422058,512,True,2,100,100,100,51795.25065422058,1.9306789471411008,419.8840574242466,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,2.0,10,537.9690909385681,512,True,2,100,100,100,53796.90909385681,1.858842853323319,404.2611437407554,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,2.0,15,538.025951385498,512,True,2,100,100,100,53802.595138549805,1.8586464043692483,404.21842002222417,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,2.0,30,532.9539227485657,512,True,2,100,100,100,53295.39227485657,1.8763348149175272,408.0652955482638,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,2.0,45,537.9356908798218,512,True,2,100,100,100,53793.56908798218,1.8589582676034155,404.2862440383908,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,2.0,60,537.9241919517517,512,True,2,100,100,100,53792.41919517517,1.858998005595728,404.29488625695893,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,5.0,,538.3694815635681,1280,False,,100,100,100,53836.94815635681,1.8574604137956225,403.96049079227197,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,5.0,1,555.9052345229359,1280,True,2,82,82,82,45584.22923088074,1.7988677528071406,386.712692030296,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,5.0,5,512.8530073165894,1280,True,2,100,100,100,51285.300731658936,1.9498764475074821,424.0591298039272,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,5.0,10,537.9299283027649,1280,True,2,100,100,100,53792.99283027649,1.8589781817031876,404.2905749568093,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,5.0,15,537.9848957061768,1280,True,2,100,100,100,53798.489570617676,1.8587882447654351,404.24926747158685,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,5.0,30,537.9777574539185,1280,True,2,100,100,100,53797.775745391846,1.858812908423369,404.25463132391434,1.0,success,
